id,houryear,dayyear,monthyear,dckwh
1016,1016,43,2,526.763813
1017,1017,43,2,1772.289625
1018,1018,43,2,2759.51075
1019,1019,43,2,3416.0195
1020,1020,43,2,3756.165
1021,1021,43,2,3792.7645
1022,1022,43,2,3548.43425
1023,1023,43,2,3012.56275
1024,1024,43,2,1010.806188
1025,1025,43,2,720.731313
1026,1026,43,2,0
1027,1027,43,2,0
1028,1028,43,2,0
1029,1029,43,2,0
1030,1030,43,2,0
1031,1031,43,2,0
1032,1032,43,2,0
1033,1033,44,2,0
1034,1034,44,2,0
1035,1035,44,2,0
1036,1036,44,2,0
1037,1037,44,2,0
1038,1038,44,2,0
1039,1039,44,2,0
1040,1040,44,2,314.477688
1041,1041,44,2,1284.26175
1042,1042,44,2,1791.609375
1043,1043,44,2,2384.239
1044,1044,44,2,2749.27175
1045,1045,44,2,1862.348875
1046,1046,44,2,1160.30725
1047,1047,44,2,945.738313
1048,1048,44,2,533.622375
1049,1049,44,2,190.939797
1050,1050,44,2,0
1051,1051,44,2,0
1052,1052,44,2,0
1053,1053,44,2,0
1054,1054,44,2,0
1055,1055,44,2,0
1056,1056,44,2,0
1057,1057,45,2,0
1058,1058,45,2,0
1059,1059,45,2,0
1060,1060,45,2,0
1061,1061,45,2,0
1062,1062,45,2,0
1063,1063,45,2,0
1064,1064,45,2,41.316746
1065,1065,45,2,251.987016
1066,1066,45,2,437.392563
1067,1067,45,2,423.219281
1068,1068,45,2,1533.88975
1069,1069,45,2,2134.41125
1070,1070,45,2,311.536563
1071,1071,45,2,812.963063
1072,1072,45,2,249.402875
1073,1073,45,2,96.658625
1074,1074,45,2,0
1075,1075,45,2,0
1076,1076,45,2,0
1077,1077,45,2,0
1078,1078,45,2,0
1079,1079,45,2,0
1080,1080,45,2,0
1081,1081,46,2,0
1082,1082,46,2,0
1083,1083,46,2,0
1084,1084,46,2,0
1085,1085,46,2,0
1086,1086,46,2,0
1087,1087,46,2,0
1088,1088,46,2,175.542906
1089,1089,46,2,821.807625
1090,1090,46,2,2717.78875
1091,1091,46,2,3427.23625
1092,1092,46,2,3803.30825
1093,1093,46,2,3848.21325
1094,1094,46,2,3600.148
1095,1095,46,2,3028.25125
1096,1096,46,2,2103.54325
1097,1097,46,2,1013.658
1098,1098,46,2,0
1099,1099,46,2,0
1100,1100,46,2,0
1101,1101,46,2,0
1102,1102,46,2,0
1103,1103,46,2,0
1104,1104,46,2,0
1105,1105,47,2,0
1106,1106,47,2,0
1107,1107,47,2,0
1108,1108,47,2,0
1109,1109,47,2,0
1110,1110,47,2,0
1111,1111,47,2,0
1112,1112,47,2,69.748852
1113,1113,47,2,202.360547
1114,1114,47,2,1207.31825
1115,1115,47,2,1001.504313
1116,1116,47,2,2119.348
1117,1117,47,2,939.563688
1118,1118,47,2,765.426688
1119,1119,47,2,1655.981125
1120,1120,47,2,160.978
1121,1121,47,2,137.481406
1122,1122,47,2,0
1123,1123,47,2,0
1124,1124,47,2,0
1125,1125,47,2,0
1126,1126,47,2,0
1127,1127,47,2,0
1128,1128,47,2,0
1129,1129,48,2,0
1130,1130,48,2,0
1131,1131,48,2,0
1132,1132,48,2,0
1133,1133,48,2,0
1134,1134,48,2,0
1135,1135,48,2,0
1136,1136,48,2,597.814875
1137,1137,48,2,1853.932875
1138,1138,48,2,2925.98775
1139,1139,48,2,3668.01
1140,1140,48,2,4022.12375
1141,1141,48,2,4071.483
1142,1142,48,2,3697.091
1143,1143,48,2,3163.933
1144,1144,48,2,2301.84325
1145,1145,48,2,1151.126875
1146,1146,48,2,0
1147,1147,48,2,0
1148,1148,48,2,0
1149,1149,48,2,0
1150,1150,48,2,0
1151,1151,48,2,0
1152,1152,48,2,0
1153,1153,49,2,0
1154,1154,49,2,0
1155,1155,49,2,0
1156,1156,49,2,0
1157,1157,49,2,0
1158,1158,49,2,0
1159,1159,49,2,0
1160,1160,49,2,28.558766
1161,1161,49,2,565.838813
1162,1162,49,2,1014.658688
1163,1163,49,2,1320.72575
1164,1164,49,2,939.858125
1165,1165,49,2,1006.454063
1166,1166,49,2,939.9815
1167,1167,49,2,1124.278875
1168,1168,49,2,647.187
1169,1169,49,2,229.22675
1170,1170,49,2,0
1171,1171,49,2,0
1172,1172,49,2,0
1173,1173,49,2,0
1174,1174,49,2,0
1175,1175,49,2,0
1176,1176,49,2,0
1177,1177,50,2,0
1178,1178,50,2,0
1179,1179,50,2,0
1180,1180,50,2,0
1181,1181,50,2,0
1182,1182,50,2,0
1183,1183,50,2,0
1184,1184,50,2,56.63898
1185,1185,50,2,1413.293875
1186,1186,50,2,819.873063
1187,1187,50,2,884.32925
1188,1188,50,2,1012.319875
1189,1189,50,2,830.760688
1190,1190,50,2,1375.932125
1191,1191,50,2,809.007875
1192,1192,50,2,787.804188
